beer_name,beer_type,beer_abv,beer_ibu,rating_score,global_rating_score,photo_url
Laško Zlatorog,Lager - Euro Pale,4.9,0,3.0,2.95,https://untappd.s3.amazonaws.com/photo/2014_12_08/bdb028beceb15e42f79bf8de50af682a_raw.jpg
Sarajevsko Pivo,Lager - Pale,4.9,5,2.5,2.91,https://untappd.s3.amazonaws.com/photo/2014_12_09/cf7232d5b48eb3c24ab752ae49e18f7f_raw.jpg
Borsodi,Lager - Pale,4.5,0,3.0,2.81,https://untappd.s3.amazonaws.com/photo/2014_12_10/dd4caee21ea9d2efce5ba18725932189_raw.jpg
Credo,IPA - American,5.8,51,4.5,3.58,https://untappd.s3.amazonaws.com/photo/2014_12_10/8650aa6725d3ac929a0f9b3c76a257fe_raw.jpg
Hostage Rye IPA,IPA - Rye,8.0,0,3.5,3.68,0
Costa Brava,Pale Ale - International,6.0,42,3.5,3.46,0
The Gose Strike Back,Sour - Fruited Gose,4.8,0,4.0,3.59,0
Espiga Garage IPA,IPA - American,6.0,56,2.5,3.64,0
American Amber Ale,Red Ale - American Amber / Red,5.3,53,4.0,3.5,https://untappd.s3.amazonaws.com/photo/2014_12_23/a2524ce1fa1b8d5c6dd4d212a291cf19_raw.jpg
Juniper Pale Ale,Pale Ale - American,5.3,34,4.0,3.5,https://untappd.s3.amazonaws.com/photo/2014_12_23/94f5fa3176c867cd78b938d986b7c28d_raw.jpg
Hoppy Christmas,IPA - American,7.2,66,3.5,3.8,https://untappd.s3.amazonaws.com/photo/2014_12_23/13c4a3f0d4bfe007bab66e70eb14c91b_raw.jpg
Little Big Hop,IPA - Imperial / Double,7.8,80,4.5,3.86,https://untappd.s3.amazonaws.com/photo/2014_12_23/99055dce4de9cbb1cefa527243645cd2_raw.jpg
 Amber Lager (Jantarový ležák),Lager - Amber,5.0,29,3.0,3.23,https://untappd.s3.amazonaws.com/photo/2014_12_26/14bb06825650b362590dede84185e4f7_raw.jpg
Dark Lager (Černý ležák),Lager - Dark,5.0,24,3.0,3.45,https://untappd.s3.amazonaws.com/photo/2014_12_26/6342869bab410d3531b954e81f6c697c_raw.jpg
Cruz Del Sur,Lager - Euro Pale,4.5,0,2.0,2.52,https://untappd.s3.amazonaws.com/photo/2014_12_26/1b630c45f28bea78758bfa0f90049e4d_raw.jpg
Pale,Pale Ale - American,5.0,0,2.5,2.52,https://untappd.s3.amazonaws.com/photo/2014_12_27/984f109c03a9c3003d95cc827edcdba3_raw.jpg
Leffe Brune / Bruin,Brown Ale - Belgian,6.5,20,3.5,3.56,https://untappd.s3.amazonaws.com/photo/2015_01_01/37ab3c89631b68c48ccaaa62d8e6e296_raw.jpg
Sidra El Gaitero,Cider - Traditional,4.1,0,1.0,3.17,https://untappd.s3.amazonaws.com/photo/2015_01_04/2de8ca8630a45664123f1d13f2e32e83_raw.jpg
Stark Cerveza Especial,Lager - Pale,5.6,0,1.0,2.57,https://untappd.s3.amazonaws.com/photo/2015_01_04/468395dbe9e442a7352e8e0a41ab4b01_raw.jpg
Premium Lager,Lager - Euro Pale,4.7,0,1.0,2.29,https://untappd.s3.amazonaws.com/photo/2015_01_04/a3ff8cd52e422aab1d62f1ca6af29719_raw.jpg
Psychedelia,Blonde Ale,5.0,37,2.5,3.47,https://untappd.s3.amazonaws.com/photo/2015_01_06/df64d8f65cc86438a8434bf3b316f544_raw.jpg
London Pride,English Bitter,4.1,30,3.5,3.41,https://untappd.s3.amazonaws.com/photo/2015_01_06/890b6c3bb84f9d8c183f2e2e76d28f3d_raw.jpg
Eurotrash Pilz,Pilsner - Czech,5.2,22,2.5,3.23,https://untappd.s3.amazonaws.com/photo/2015_01_06/17afdf0ca5aeabb68b62feb239f4df23_raw.jpg
Aotearoa,Pilsner - Other,5.4,45,4.0,3.74,0
Canuck Pale Ale,Pale Ale - American,5.2,35,4.5,3.62,https://untappd.s3.amazonaws.com/photo/2015_01_10/33e8b11a572edff2f6b170273bb99807_raw.jpg
DOLINA Belgian Dubbel,Belgian Dubbel,6.5,0,3.0,3.25,https://untappd.s3.amazonaws.com/photo/2015_01_11/827ea955a59b4dee2899157a56542ce6_raw.jpg
UnaRubia,Pale Ale - American,5.0,36,2.5,3.27,https://untappd.s3.amazonaws.com/photo/2015_01_11/5eaa4335f79a1f232adab7e8db0e4005_raw.jpg
Mil Cien,Belgian Tripel,9.0,0,4.0,2.9,https://untappd.s3.amazonaws.com/photo/2015_01_13/fda79b90e0ccc1fa8d14d75cbe866b94_raw.jpg
India Pale Ale,IPA - English,5.3,50,4.5,3.38,https://untappd.s3.amazonaws.com/photo/2015_01_21/82b6c6acf86e07db3db9ae1195a0c218_raw.jpg
Guinness Original (Europe),Stout - Irish Dry,4.2,0,3.0,3.54,https://untappd.s3.amazonaws.com/photo/2015_01_21/882c30b3a7e3804b0b35f2df921c0621_raw.jpg
Satan Red,Belgian Strong Golden Ale,8.0,0,3.5,3.39,https://untappd.s3.amazonaws.com/photo/2015_01_24/21d84694a74019c8128e1b7fe811162d_raw.jpg
Piraat,Belgian Strong Golden Ale,10.5,23,3.5,3.66,https://untappd.s3.amazonaws.com/photo/2015_01_24/a3f66d1474451bb69d4f76d468340d98_raw.jpg
3 MONTS,Farmhouse Ale - Other,8.5,20,4.5,3.43,https://untappd.s3.amazonaws.com/photo/2015_01_24/c54d6fc832cf96d6ac700a21402decbe_raw.jpg
IPA,IPA - American,6.9,60,4.0,3.63,https://untappd.s3.amazonaws.com/photo/2015_01_25/202cd4f61d338244eb54817c0168c9b0_raw.jpg
Rubia,Lager - Pale,4.3,18,4.0,3.15,https://untappd.s3.amazonaws.com/photo/2015_01_25/b1dd3e4f262f15c38f121ae60827da7b_raw.jpg
Kaapse Bea,IPA - Black / Cascadian Dark Ale,6.0,73,3.5,3.43,https://untappd.s3.amazonaws.com/photo/2015_01_26/97af212e9d54b0106ccc0b334f98e8e8_raw.jpg
Gamma Ray,Pale Ale - American,5.4,45,4.0,3.79,https://untappd.s3.amazonaws.com/photo/2015_01_26/649df7512c4f4a3aaf0116fbd9efb84b_raw.jpg
Licher Hefe-Weizen,Hefeweizen,5.4,12,3.5,3.48,https://untappd.s3.amazonaws.com/photo/2015_01_27/93186b7dd29bce4d6e21130b192d3763_raw.jpg
Tostada,Sour - Flanders Oud Bruin,5.2,0,3.0,3.1,0
Aecht Schlenkerla Rauchbier - Märzen,Rauchbier,5.1,30,3.5,3.55,https://untappd.s3.amazonaws.com/photo/2015_01_31/799507a42c0a858712263d9166e3ed18_raw.jpg
Carrie,IPA - Red,6.5,39,4.0,3.47,https://untappd.s3.amazonaws.com/photo/2015_02_01/56116eb85adb5e637be1f91049d212b6_raw.jpg
CCCP,IPA - American,4.7,59,4.5,3.57,https://untappd.s3.amazonaws.com/photo/2015_02_01/5bebe884cfa7d6576a40e85ee0de34fa_raw.jpg
Diablos Joe!,Red Ale - American Amber / Red,6.5,70,4.5,3.49,https://untappd.s3.amazonaws.com/photo/2015_02_02/b751276a93f824d2345f4210b43c5e25_raw.jpg
Belgian White,Wheat Beer - Witbier,5.4,9,1.0,3.5,https://untappd.s3.amazonaws.com/photo/2015_02_07/7447f20944ccaa12da9a1f71d8e81e71_raw.jpg
Smashbomb Atomic IPA,IPA - American,6.0,72,4.5,3.66,https://untappd.s3.amazonaws.com/photo/2015_02_07/8cfb07b79e38e79f60f26420fa73fe50_raw.jpg
Sargent Pepper,Porter - Other,6.0,60,4.0,3.46,https://untappd.s3.amazonaws.com/photo/2015_02_11/1db18a6f7a3311406bb2a58a2da252d0_raw.jpg
Cabrona,Belgian Quadrupel,10.0,37,3.5,3.82,0
Triple Maravillas,Belgian Tripel,9.0,33,3.5,3.65,0
Red Ale,Red Ale - American Amber / Red,6.0,57,4.0,3.6,0
Urumea,Pale Ale - English,5.3,0,4.0,2.94,https://untappd.s3.amazonaws.com/photo/2015_02_13/359bdc5c66fff27e9431b9b2fcb9b74b_raw.jpg
Bermeja,Red Ale - Irish,4.5,0,2.0,2.9,https://untappd.s3.amazonaws.com/photo/2015_02_15/0a90668d1e4e725fa5d0fe6d2b382201_raw.jpg
Daura,Gluten-Free,5.4,30,2.5,2.93,https://untappd.s3.amazonaws.com/photo/2015_02_15/6c5cab4ba42bf428da382e5fcc6d2d71_raw.jpg
Soundwave IPA,IPA - American,5.6,0,3.5,3.74,https://untappd.s3.amazonaws.com/photo/2015_02_22/f24477270a4fb46f822f8c711a4e377c_raw.jpg
India Pale Ale Citra Motueka,IPA - American,7.1,0,4.0,3.93,0
IPA Amarillo,IPA - American,6.5,105,2.5,3.59,0
Ruby Red Ale,Red Ale - American Amber / Red,4.3,0,3.5,3.33,0
IPA 2,IPA - American,6.8,75,4.0,3.87,0
Gringaza,Pale Ale - American,5.0,30,3.5,3.6,https://untappd.s3.amazonaws.com/photo/2015_02_22/054d512e333380b151226ba69a13e67b_raw.jpg
Delirium Tremens,Belgian Strong Golden Ale,8.5,26,3.0,3.89,https://untappd.s3.amazonaws.com/photo/2015_02_22/7589d804653e577428c5036a53387f8d_raw.jpg
Kozel Světlý / Kozel 10,Pilsner - Czech,4.0,0,2.5,3.09,0
Timmermans Kriek Lambicus,Lambic - Kriek,4.0,10,2.0,3.26,0
Alhambra Reserva 1925,Lager - Strong,6.4,25,5.0,3.33,https://untappd.s3.amazonaws.com/photo/2015_02_28/51bc1e5251da4423ee1bb45c48f9fa75_raw.jpg
Lucky Jack,Pale Ale - American,4.7,45,4.0,3.52,https://untappd.s3.amazonaws.com/photo/2015_03_01/9d6f4e3fb4adc238edd06af7273ce734_raw.jpg
Aker,IPA - American,6.0,70,4.0,3.71,https://untappd.s3.amazonaws.com/photo/2015_03_01/9ec5bd40b50327d098058d4089910fe0_raw.jpg
7:45 Escalation,IPA - Imperial / Double,8.3,83,4.0,3.73,https://untappd.s3.amazonaws.com/photo/2015_03_01/0ce6adc199a941ac73d2f74296d7961c_raw.jpg
Drunken Sailor,IPA - American,6.4,58,4.0,3.61,https://untappd.s3.amazonaws.com/photo/2015_03_01/3bbf2e6496e6efd02fa7e47928713a93_raw.jpg
Tres Mares,Red Ale - American Amber / Red,5.2,40,3.0,3.46,https://untappd.s3.amazonaws.com/photo/2015_03_06/300739b78a55a9c60d06e121aa811734_raw.jpg
Leyenda,Extra Special / Strong Bitter,5.8,35,4.5,3.51,https://untappd.s3.amazonaws.com/photo/2015_03_06/27b6fd34a534ce8b0601f59400790620_raw.jpg
Spaten Premium Bock,Bock - Single / Traditional,6.5,0,3.0,3.41,0
El Corte Inglés Cerveja Beer Lager Type,Lager - Pale,4.8,0,2.5,2.44,https://untappd.s3.amazonaws.com/photo/2015_03_14/3d9ac125d688d830495409acb01e27ad_raw.jpg
Winter Ale (2014),Winter Ale,7.2,24,1.5,3.46,https://untappd.s3.amazonaws.com/photo/2015_03_19/b9c3fc5d875b7db0251cc8599a9cf182_raw.jpg
Original,Blonde Ale,4.5,18,3.0,3.23,https://untappd.s3.amazonaws.com/photo/2015_03_20/6eae102dcea06e624de29de6f1cfb2c0_raw.jpg
